    nm         	uN
3.046871e+02	8.286935e+00
3.027340e+02	8.283015e+00
3.007809e+02	8.283015e+00
2.988278e+02	8.279095e+00
2.968747e+02	8.275175e+00
2.949216e+02	8.263415e+00
2.929685e+02	8.263415e+00
2.910153e+02	8.255574e+00
2.890622e+02	8.251654e+00
2.871091e+02	8.255574e+00
2.851560e+02	8.247735e+00
2.832029e+02	8.235975e+00
2.812498e+02	8.239895e+00
2.792967e+02	8.235975e+00
2.773436e+02	8.232054e+00
2.753904e+02	8.216374e+00
2.734373e+02	8.224214e+00
2.714842e+02	8.216374e+00
2.695311e+02	8.212454e+00
2.675780e+02	8.204614e+00
2.656249e+02	8.200695e+00
2.636718e+02	8.196774e+00
2.617187e+02	8.192854e+00
2.597656e+02	8.192854e+00
2.578124e+02	8.188934e+00
2.558593e+02	8.181094e+00
2.539062e+02	8.177174e+00
2.519531e+02	8.177174e+00
2.500000e+02	8.169333e+00
2.480469e+02	8.161493e+00
2.460938e+02	8.165413e+00
2.441407e+02	8.161493e+00
2.421876e+02	8.149734e+00
2.402344e+02	8.149734e+00
2.382813e+02	8.149734e+00
2.363282e+02	8.141894e+00
2.343751e+02	8.137974e+00
2.324219e+02	8.126213e+00
2.304688e+02	8.122293e+00
2.285157e+02	8.122293e+00
2.265626e+02	8.114454e+00
2.246094e+02	8.114454e+00
2.226563e+02	8.114454e+00
2.207032e+02	8.098773e+00
2.187501e+02	8.102693e+00
2.167969e+02	8.098773e+00
2.148438e+02	8.098773e+00
2.128907e+02	8.094853e+00
2.109376e+02	8.079173e+00
2.089844e+02	8.083093e+00
2.070313e+02	8.071333e+00
2.050782e+02	8.071333e+00
2.031251e+02	8.063493e+00
2.011719e+02	8.063493e+00
1.992188e+02	8.055653e+00
1.972657e+02	8.059573e+00
1.953126e+02	8.047813e+00
1.933594e+02	8.055653e+00
1.914063e+02	8.047813e+00
1.894532e+02	8.043892e+00
1.875000e+02	8.036052e+00
1.855469e+02	8.032132e+00
1.835938e+02	8.032132e+00
1.816407e+02	8.024293e+00
1.796875e+02	8.016453e+00
1.777344e+02	8.016453e+00
1.757813e+02	8.024293e+00
1.738282e+02	8.004692e+00
1.718750e+02	8.004692e+00
1.699219e+02	8.000772e+00
1.679688e+02	8.000772e+00
1.660157e+02	7.992932e+00
1.640625e+02	7.996852e+00
1.621094e+02	7.981173e+00
1.601563e+02	7.977253e+00
1.582032e+02	7.977253e+00
1.562500e+02	7.969412e+00
1.542969e+02	7.969412e+00
1.523438e+02	7.961573e+00
1.503907e+02	7.961573e+00
1.484375e+02	7.961573e+00
1.464844e+02	7.953732e+00
1.445313e+02	7.945892e+00
1.425782e+02	7.953732e+00
1.406250e+02	7.938052e+00
1.386719e+02	7.930213e+00
1.367188e+02	7.934133e+00
1.347657e+02	7.930213e+00
1.328125e+02	7.922372e+00
1.308594e+02	7.914532e+00
1.289063e+02	7.922372e+00
1.269532e+02	7.914532e+00
1.250000e+02	7.902772e+00
1.230469e+02	7.902772e+00
1.210938e+02	7.902772e+00
1.191407e+02	7.898852e+00
1.171875e+02	7.891012e+00
1.152344e+02	7.887092e+00
1.132813e+02	7.883172e+00
1.113281e+02	7.879252e+00
1.093750e+02	7.879252e+00
1.074219e+02	7.871412e+00
1.054688e+02	7.867492e+00
1.035156e+02	7.863572e+00
1.015625e+02	7.855731e+00
9.960939e+01	7.851811e+00
9.765627e+01	7.851811e+00
9.570314e+01	7.847892e+00
9.375002e+01	7.843972e+00
9.179689e+01	7.836132e+00
8.984377e+01	7.836132e+00
8.789064e+01	7.836132e+00
8.593751e+01	7.824371e+00
8.398439e+01	7.820451e+00
8.203126e+01	7.816531e+00
8.007814e+01	7.812611e+00
7.812501e+01	7.804771e+00
7.617189e+01	7.808691e+00
7.421876e+01	7.808691e+00
7.226564e+01	7.800852e+00
7.031251e+01	7.796931e+00
6.835938e+01	7.789091e+00
6.640626e+01	7.789091e+00
6.445313e+01	7.781251e+00
6.250001e+01	7.781251e+00
6.054688e+01	7.785171e+00
5.859376e+01	7.777331e+00
5.664063e+01	7.769491e+00
5.468750e+01	7.777331e+00
5.273438e+01	7.757732e+00
5.078125e+01	7.757732e+00
4.882813e+01	7.757732e+00
4.687500e+01	7.749891e+00
4.492188e+01	7.749891e+00
4.296875e+01	7.749891e+00
4.101562e+01	7.745971e+00
3.906250e+01	7.738131e+00
3.710937e+01	7.738131e+00
3.515625e+01	7.738131e+00
3.320312e+01	7.726371e+00
3.125000e+01	7.726371e+00
2.929687e+01	7.714611e+00
2.734375e+01	7.714611e+00
2.539062e+01	7.710691e+00
2.343749e+01	7.702851e+00
2.148437e+01	7.710691e+00
1.953124e+01	7.695011e+00
1.757812e+01	7.687170e+00
1.562499e+01	7.695011e+00
1.367187e+01	7.691090e+00
1.171874e+01	7.679330e+00
9.765617e+00	7.683250e+00
7.812492e+00	7.679330e+00
5.859367e+00	7.675410e+00
3.906242e+00	7.671490e+00
1.953117e+00	7.663651e+00
-7.549517e-06	7.659730e+00
