    nm         	uN
4.023427e+02	5.996988e+00
4.042958e+02	5.999753e+00
4.062489e+02	6.002518e+00
4.082020e+02	6.010813e+00
4.101551e+02	6.008048e+00
4.121082e+02	6.013578e+00
4.140614e+02	6.016342e+00
4.160145e+02	6.019107e+00
4.179676e+02	6.021872e+00
4.199207e+02	6.021872e+00
4.218738e+02	6.021872e+00
4.238269e+02	6.024637e+00
4.257800e+02	6.030167e+00
4.277331e+02	6.032932e+00
4.296863e+02	6.035697e+00
4.316394e+02	6.032932e+00
4.335925e+02	6.038461e+00
4.355456e+02	6.041226e+00
4.374987e+02	6.041226e+00
4.394518e+02	6.043991e+00
4.414049e+02	6.052286e+00
4.433580e+02	6.052286e+00
4.453111e+02	6.055051e+00
4.472643e+02	6.057815e+00
4.492174e+02	6.057815e+00
4.511705e+02	6.063345e+00
4.531236e+02	6.066110e+00
4.550767e+02	6.066110e+00
4.570298e+02	6.079934e+00
4.589829e+02	6.074405e+00
4.609360e+02	6.077169e+00
4.628891e+02	6.079934e+00
4.648423e+02	6.090993e+00
4.667954e+02	6.088228e+00
4.687485e+02	6.093759e+00
4.707016e+02	6.096524e+00
4.726547e+02	6.093759e+00
4.746078e+02	6.102053e+00
4.765609e+02	6.107583e+00
4.785140e+02	6.107583e+00
4.804672e+02	6.107583e+00
4.824203e+02	6.110347e+00
4.843735e+02	6.110347e+00
4.863266e+02	6.115877e+00
4.882797e+02	6.126937e+00
4.902329e+02	6.129701e+00
4.921860e+02	6.137996e+00
4.941392e+02	6.129701e+00
4.960923e+02	6.137996e+00
4.980454e+02	6.143526e+00
