    nm         	uN
7.773418e+02	1.288426e+00
7.812480e+02	1.285661e+00
7.851543e+02	1.285661e+00
7.890605e+02	1.288426e+00
7.929667e+02	1.285661e+00
7.968729e+02	1.285661e+00
8.007792e+02	1.285661e+00
8.046854e+02	1.285661e+00
8.085916e+02	1.285661e+00
8.124978e+02	1.288426e+00
8.164041e+02	1.288426e+00
8.203103e+02	1.285661e+00
8.242165e+02	1.282897e+00
8.281227e+02	1.280132e+00
8.320289e+02	1.282897e+00
8.359352e+02	1.280132e+00
8.398414e+02	1.282897e+00
8.437476e+02	1.282897e+00
8.476538e+02	1.280132e+00
8.515601e+02	1.280132e+00
8.554663e+02	1.282897e+00
8.593725e+02	1.282897e+00
8.632787e+02	1.280132e+00
8.671850e+02	1.280132e+00
8.710912e+02	1.280132e+00
8.749974e+02	1.280132e+00
8.789036e+02	1.280132e+00
8.828098e+02	1.277367e+00
8.867161e+02	1.277367e+00
8.906223e+02	1.280132e+00
8.945285e+02	1.280132e+00
8.984347e+02	1.280132e+00
9.023410e+02	1.280132e+00
9.062472e+02	1.277367e+00
9.101534e+02	1.274602e+00
9.140596e+02	1.277367e+00
9.179658e+02	1.274602e+00
9.218721e+02	1.274602e+00
9.257783e+02	1.277367e+00
9.296845e+02	1.274602e+00
9.335907e+02	1.277367e+00
9.374970e+02	1.277367e+00
9.414032e+02	1.277367e+00
9.453094e+02	1.274602e+00
9.492156e+02	1.274602e+00
9.531219e+02	1.274602e+00
9.570281e+02	1.274602e+00
9.609344e+02	1.274602e+00
9.648406e+02	1.271837e+00
9.687469e+02	1.271837e+00
9.726532e+02	1.274602e+00
9.765595e+02	1.274602e+00
9.804658e+02	1.274602e+00
9.843720e+02	1.271837e+00
9.882783e+02	1.274602e+00
9.921846e+02	1.271837e+00
9.960909e+02	1.271837e+00
