date,branch,file,source_path,direction,time_direction,n_points,sample,linker,surfactant,scan_size_nm,displacement_nm,setpoint,probe_model,probe_radius_nm,cantilever_stiffness_N_m,baseline_slope,baseline_intercept,baseline_points,baseline_status,min_force_nN,max_force_nN,snap_f_nN,snap_z_nm,contact_z_nm,contact_f_nN,pull_off_f_nN,pull_off_z_nm,repulsive_points,max_indentation_nm,loading_stiffness_nN_per_nm,max_repulsive_force_nN,work_area_nN_nm,warnings,valid
20260409,extend,JJS-50nm-1500nm-9nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/extend/JJS-50nm-1500nm-9nN - NanoScope Analysis.txt,inc,inc,510,JJS,,JJS,50.0,1500.0,9nN,RTESPA-150,8.0,7.0,-0.0009794232609172527,11.652375036502352,33,OK,-11.49058273004936,5.4060170006818655,-11.49058273004936,1494.1480000000001,1497.077,5.4060170006818655,,,1,,,5.4060170006818655,1965.830943036457,,True
20260409,retract,JJS-50nm-1500nm-9nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/retract/JJS-50nm-1500nm-9nN - NanoScope Analysis.txt,inc,inc,510,JJS,,JJS,50.0,1500.0,9nN,RTESPA-150,8.0,7.0,-0.0009794232609172527,11.652375036502352,33,OK,-11.49058273004936,5.4060170006818655,,,,,-11.49058273004936,1494.1480000000001,0,,,,1965.830943036457,retract_not_decreasing_z,True
20260409,extend,JJS-50nm-454nm-8.862nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/extend/JJS-50nm-454nm-8.862nN - NanoScope Analysis.txt,inc,inc,471,JJS,,JJS,50.0,454.0,8.862nN,RTESPA-150,8.0,7.0,0.003371444869342706,14.957639820567186,72,OK,-20.710320929610536,2.1257222411603394,-20.710320929610536,449.5168,453.0633,2.1257222411603394,,,1,,,2.1257222411603394,-249.78438833308135,,True
20260409,retract,JJS-50nm-454nm-8.862nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/retract/JJS-50nm-454nm-8.862nN - NanoScope Analysis.txt,dec,dec,512,JJS,,JJS,50.0,454.0,8.862nN,RTESPA-150,8.0,7.0,0.0007915922703388236,14.953824353885349,113,OK,-150.60501432370992,10.914424239860454,,,,,-150.60501432370992,428.2381,0,,,,1828.7140123729741,,True
20260409,extend,JJS-50nm-500nm-10nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/extend/JJS-50nm-500nm-10nN - NanoScope Analysis.txt,inc,inc,487,JJS,,JJS,50.0,500.0,10nN,RTESPA-150,8.0,7.0,0.0011575999883571642,13.453883438481371,78,OK,-21.80787598040816,8.31807569036869,-21.80787598040816,494.1418,498.0481,2.3648460867573213,,,2,0.9753117034728486,,8.31807569036869,-38.99461118594034,,True
20260409,retract,JJS-50nm-500nm-10nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/retract/JJS-50nm-500nm-10nN - NanoScope Analysis.txt,dec,dec,512,JJS,,JJS,50.0,500.0,10nN,RTESPA-150,8.0,7.0,0.0004553494414181764,13.616021458401717,103,OK,-127.156324381927,11.912817968734355,,,,,-127.156324381927,476.5635,0,,,,1336.141922243935,,True
20260409,extend,JJS-50nm-500nm-8.862nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/extend/JJS-50nm-500nm-8.862nN - NanoScope Analysis.txt,inc,inc,512,JJS,,JJS,50.0,500.0,8.862nN,RTESPA-150,8.0,7.0,0.001327443396637519,14.539213401714232,103,OK,-20.790614919603627,4.267739688256089,-20.790614919603627,495.1183,499.0246,4.267739688256089,,,1,,,4.267739688256089,-74.03584383102711,,True
20260409,retract,JJS-50nm-500nm-8.862nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/retract/JJS-50nm-500nm-8.862nN - NanoScope Analysis.txt,dec,dec,512,JJS,,JJS,50.0,500.0,8.862nN,RTESPA-150,8.0,7.0,0.002716587272263314,14.700727403808878,103,OK,-143.24334797573266,10.890578719284832,,,,,-143.24334797573266,474.6104,0,,,,1928.6601131442267,,True
20260409,extend,JJS-50nm-500nm-9nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/extend/JJS-50nm-500nm-9nN - NanoScope Analysis.txt,inc,inc,480,JJS,,JJS,50.0,500.0,9nN,RTESPA-150,8.0,7.0,0.0020399298621517786,14.03997534917641,71,OK,-18.509721963133842,6.488529467335242,-18.509721963133842,494.1418,498.0481,1.0069714588456353,,,2,0.9755730672189962,,6.488529467335242,-165.46929886623238,,True
20260409,retract,JJS-50nm-500nm-9nN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260409/retract/JJS-50nm-500nm-9nN - NanoScope Analysis.txt,dec,dec,512,JJS,,JJS,50.0,500.0,9nN,RTESPA-150,8.0,7.0,0.00022052298098562643,13.95709769613988,103,OK,-134.7517755370456,11.356595911482959,,,,,-134.7517755370456,475.5869,0,,,,1451.0825056549115,,True
20260415,extend,linker1-PFPE-OH-10000nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-10000nm.spm - NanoScope Analysis.txt,inc,inc,53,linker1,linker1,PFPE-OH,,10000.0,,RTESPA-150,8.0,7.0,0.004003019343568443,-50.67123575598297,8,OK_extend_edge,-0.057404471931498335,1.5577352166068632,-0.057404471931498335,8085.938999999999,8203.127,0.06729969723439666,,,46,1757.8257774663966,0.0007686617945321092,1.5577352166068632,1235.388939383158,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-10000nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-10000nm.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,10000.0,,RTESPA-150,8.0,7.0,0.0,-18.843426666666666,3,OK_const,-0.1583433333333346,9.675069666666666,,,,,-0.1583433333333346,5507.8189999999995,0,,,,-9895.285800379304,missing_setpoint,True
20260415,extend,linker1-PFPE-OH-1000nm-2.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-1000nm-2.spm - NanoScope Analysis.txt,inc,inc,256,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.004188953605637478,21.904884278152622,26,OK,-0.0775135782186851,1.9362337736891,-0.0775135782186851,11.71875,19.53125,0.056030221737270125,,,241,976.5594832618351,0.0017546856585425926,1.9362337736891,877.1802995962898,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-1000nm-2.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-1000nm-2.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.005065710718076319,21.854846933928382,25,OK,-7.839030724902603,8.49112471776333,,,,,-7.839030724902603,984.372,0,,,,-495.0796528170526,missing_setpoint,True
20260415,extend,linker1-PFPE-OH-1000nm-3.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-1000nm-3.spm - NanoScope Analysis.txt,inc,inc,227,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.005208360191971732,22.18870343095272,34,OK_extend_edge,-1.5844182046801158,3.2645963779019844,-1.5844182046801158,992.1846,996.0909,3.2645963779019844,,,1,,,3.2645963779019844,193.6273188326493,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-1000nm-3.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-1000nm-3.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.004752327463166777,22.214704523856934,25,OK,-5.224886630198707,6.258155336262551,,,,,-5.224886630198707,988.2783,0,,,,-461.94009066985416,missing_setpoint,True
20260415,extend,linker1-PFPE-OH-1000nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-1000nm.spm - NanoScope Analysis.txt,inc,inc,243,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.005746621911275795,22.058394372756386,13,OK,-1.5368541351467968,1.7423578356811866,-1.5368541351467968,992.1846,996.0909,1.7423578356811866,,,1,,,1.7423578356811866,92.02944830816256,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-1000nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-1000nm.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,1000.0,,RTESPA-150,8.0,7.0,0.004757022120884121,22.119452523321932,25,OK,-6.131904258011684,4.8523010309666965,,,,,-6.131904258011684,988.2783,0,,,,-526.8867097888196,missing_setpoint,True
20260415,extend,linker1-PFPE-OH-12110nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-12110nm.spm - NanoScope Analysis.txt,inc,inc,43,linker1,linker1,PFPE-OH,,12110.0,,RTESPA-150,8.0,7.0,0.004061214995619631,-60.417145932351495,6,OK_extend_edge,-0.04659561904763265,1.255614054516867,-0.04659561904763265,10261.89,10309.18,0.04636952380950987,,,38,1749.7398209172572,0.0006314601855737038,1.255614054516867,975.3763171351624,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-12110nm.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-12110nm.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,12110.0,,RTESPA-150,8.0,7.0,5.523361614040229e-05,-19.452009662088752,38,OK_retract_edge,-0.6158557275488619,9.047542903740933,,,,,-0.6158557275488619,9410.671,0,,,,-6061.439975892246,missing_setpoint,True
20260415,extend,linker1-PFPE-OH-1500nm-2.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/extend/linker1-PFPE-OH-1500nm-2.spm - NanoScope Analysis.txt,inc,inc,225,linker1,linker1,PFPE-OH,,1500.0,,RTESPA-150,8.0,7.0,0.006265009253307348,18.817288007338043,34,OK_extend_edge,-1.646067728102448,0.15699876667018842,-1.646067728102448,1494.143,1494.143,-1.646067728102448,,,0,,,0.15699876667018842,-325.55906138044594,missing_setpoint,True
20260415,retract,linker1-PFPE-OH-1500nm-2.spm - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260415/retract/linker1-PFPE-OH-1500nm-2.spm - NanoScope Analysis.txt,dec,dec,256,linker1,linker1,PFPE-OH,,1500.0,,RTESPA-150,8.0,7.0,0.006199985342215019,19.097367914933205,17,OK,-6.720704985880964,7.078357385893625,,,,,-6.720704985880964,1482.424,0,,,,498.539476515432,missing_setpoint,True
