point_idx,delta_nm,raw_force_nN,stitched_force_nN,segment_id,cumulative_offset_nN,used_for_fit,date,file,group,sample,linker,surfactant,displacement_nm,setpoint,curve_id,rupture_idx
64,49.999893978684035,3.2058971208166724,3.2058971208166724,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
65,50.781098235705414,2.827022217720497,2.827022217720497,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
66,51.56240249327173,2.448098815532802,2.448098815532802,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
67,52.34360675029312,2.0692239124366267,2.0692239124366267,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
68,53.124955051679656,-2.229599489751081,-2.229599489751081,0,0.0,False,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
69,53.90615930870104,-2.6084743928472562,-2.6084743928472562,0,0.0,False,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
70,54.687419522447136,0.9325022049650613,0.9325022049650613,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
71,55.46857973564829,4.473527301868899,4.473527301868899,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
72,56.249928037034834,0.17470389968121935,0.17470389968121935,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
73,57.03113229405621,-0.20417100341495598,-0.20417100341495598,0,0.0,False,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
74,57.81239250780231,3.336805594397333,3.336805594397333,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
