    nm         	uN
6.250001e+01	1.363078e+00
6.054688e+01	1.363078e+00
5.859376e+01	1.363078e+00
5.664063e+01	1.360313e+00
5.468750e+01	1.360313e+00
5.273438e+01	1.360313e+00
5.078125e+01	1.363078e+00
4.882813e+01	1.363078e+00
4.687500e+01	1.363078e+00
4.492188e+01	1.365842e+00
4.296875e+01	1.371372e+00
4.101562e+01	1.363078e+00
3.906250e+01	1.363078e+00
3.710937e+01	1.363078e+00
3.515625e+01	1.363078e+00
3.320312e+01	1.363078e+00
3.125000e+01	1.365842e+00
2.929687e+01	1.365842e+00
2.734375e+01	1.363078e+00
2.539062e+01	1.368607e+00
2.343749e+01	1.365842e+00
2.148437e+01	1.368607e+00
1.953124e+01	1.368607e+00
1.757812e+01	1.365842e+00
1.562499e+01	1.365842e+00
1.367187e+01	1.365842e+00
1.171874e+01	1.368607e+00
9.765617e+00	1.368607e+00
7.812492e+00	1.368607e+00
5.859367e+00	1.368607e+00
3.906242e+00	1.371372e+00
1.953117e+00	1.371372e+00
-7.549517e-06	1.371372e+00
