    nm         	uN
2.187500e+02	5.571199e+00
2.148438e+02	5.568435e+00
2.109375e+02	5.562905e+00
2.070313e+02	5.562905e+00
2.031250e+02	5.557375e+00
1.992188e+02	5.551845e+00
1.953125e+02	5.549080e+00
1.914063e+02	5.546316e+00
1.875000e+02	5.540786e+00
1.835938e+02	5.538021e+00
1.796875e+02	5.540786e+00
1.757813e+02	5.532491e+00
1.718750e+02	5.521432e+00
1.679688e+02	5.526962e+00
1.640625e+02	5.526962e+00
1.601563e+02	5.515902e+00
1.562500e+02	5.510372e+00
1.523438e+02	5.513137e+00
1.484375e+02	5.504843e+00
1.445313e+02	5.496548e+00
1.406250e+02	5.493783e+00
1.367188e+02	5.496548e+00
1.328125e+02	5.488253e+00
1.289063e+02	5.488253e+00
1.250000e+02	5.477194e+00
1.210938e+02	5.477194e+00
1.171875e+02	5.471664e+00
1.132813e+02	5.468899e+00
1.093750e+02	5.463370e+00
1.054688e+02	5.457840e+00
1.015625e+02	5.460605e+00
9.765625e+01	5.460605e+00
9.375000e+01	5.449545e+00
8.984375e+01	5.446781e+00
8.593750e+01	5.441251e+00
8.203125e+01	5.441251e+00
7.812500e+01	5.435721e+00
7.421875e+01	5.430191e+00
7.031250e+01	5.430191e+00
6.640624e+01	5.424662e+00
6.249999e+01	5.421897e+00
5.859374e+01	5.419132e+00
5.468749e+01	5.416367e+00
5.078124e+01	5.410837e+00
4.687499e+01	5.399778e+00
4.296874e+01	5.402543e+00
3.906248e+01	5.397013e+00
3.515623e+01	5.402543e+00
3.124998e+01	5.391483e+00
2.734373e+01	5.385954e+00
2.343748e+01	5.383189e+00
1.953123e+01	5.380424e+00
1.562498e+01	5.377659e+00
1.171873e+01	5.374894e+00
7.812485e+00	5.366599e+00
3.906235e+00	5.363835e+00
-1.509903e-05	5.366599e+00
