实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为1000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	uN
9.960909e+02	2.095766e+00
9.921846e+02	2.093001e+00
9.882783e+02	2.098531e+00
9.843720e+02	2.098531e+00
9.804658e+02	2.101296e+00
9.765595e+02	2.101296e+00
9.726532e+02	2.101296e+00
9.687469e+02	2.104061e+00
9.648406e+02	2.106826e+00
9.609344e+02	2.106826e+00
9.570281e+02	2.109591e+00
9.531219e+02	2.109591e+00
9.492156e+02	2.109591e+00
9.453094e+02	2.109591e+00
9.414032e+02	2.112356e+00
9.374970e+02	2.115120e+00
9.335907e+02	2.112356e+00
9.296845e+02	2.112356e+00
9.257783e+02	2.115120e+00
9.218721e+02	2.115120e+00
9.179658e+02	2.115120e+00
9.140596e+02	2.117885e+00
9.101534e+02	2.115120e+00
9.062472e+02	2.115120e+00
9.023410e+02	2.117885e+00
8.984347e+02	2.117885e+00
8.945285e+02	2.115120e+00
8.906223e+02	2.115120e+00
8.867161e+02	2.115120e+00
8.828098e+02	2.112356e+00
8.789036e+02	2.109591e+00
8.749974e+02	2.109591e+00
8.710912e+02	2.112356e+00
8.671850e+02	2.112356e+00
8.632787e+02	2.109591e+00
8.593725e+02	2.109591e+00
8.554663e+02	2.106826e+00
8.515601e+02	2.106826e+00
8.476538e+02	2.104061e+00
8.437476e+02	2.101296e+00
8.398414e+02	2.101296e+00
8.359352e+02	2.101296e+00
8.320289e+02	2.098531e+00
8.281227e+02	2.098531e+00
8.242165e+02	2.095766e+00
8.203103e+02	2.093001e+00
8.164041e+02	2.093001e+00
8.124978e+02	2.090237e+00
8.085916e+02	2.084707e+00
8.046854e+02	2.084707e+00
8.007792e+02	2.079177e+00
7.968729e+02	2.076412e+00
7.929667e+02	2.076412e+00
7.890605e+02	2.073647e+00
7.851543e+02	2.070882e+00
7.812480e+02	2.065353e+00
7.773418e+02	2.062588e+00
7.734356e+02	2.059823e+00
7.695294e+02	2.057058e+00
7.656232e+02	2.054293e+00
7.617169e+02	2.048763e+00
7.578107e+02	2.045999e+00
7.539045e+02	2.045999e+00
7.499983e+02	2.040469e+00
7.460920e+02	2.037704e+00
7.421858e+02	2.034939e+00
7.382796e+02	2.032175e+00
7.343734e+02	2.026645e+00
7.304671e+02	2.026645e+00
7.265609e+02	2.021115e+00
7.226547e+02	2.018350e+00
7.187485e+02	2.012820e+00
7.148423e+02	2.007291e+00
7.109360e+02	2.007291e+00
7.070298e+02	2.001761e+00
7.031236e+02	1.998996e+00
6.992174e+02	1.993466e+00
6.953111e+02	1.993466e+00
6.914049e+02	1.990702e+00
6.874987e+02	1.985172e+00
6.835925e+02	1.979642e+00
6.796863e+02	1.976877e+00
6.757800e+02	1.974112e+00
6.718738e+02	1.968583e+00
6.679676e+02	1.968583e+00
6.640614e+02	1.963053e+00
6.601551e+02	1.960288e+00
6.562489e+02	1.954758e+00
6.523427e+02	1.954758e+00
6.484365e+02	1.949228e+00
6.445302e+02	1.943699e+00
6.406240e+02	1.940934e+00
6.367178e+02	1.935404e+00
