实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为6000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	uN
1.289063e+02	2.192536e+00
1.269532e+02	2.192536e+00
1.250000e+02	2.192536e+00
1.230469e+02	2.195301e+00
1.210938e+02	2.192536e+00
1.191407e+02	2.192536e+00
1.171875e+02	2.192536e+00
1.152344e+02	2.189772e+00
1.132813e+02	2.192536e+00
1.113281e+02	2.195301e+00
1.093750e+02	2.195301e+00
1.074219e+02	2.195301e+00
1.054688e+02	2.195301e+00
1.035156e+02	2.198066e+00
1.015625e+02	2.195301e+00
9.960939e+01	2.198066e+00
9.765627e+01	2.195301e+00
9.570314e+01	2.200831e+00
9.375002e+01	2.198066e+00
9.179689e+01	2.198066e+00
8.984377e+01	2.200831e+00
8.789064e+01	2.198066e+00
8.593751e+01	2.200831e+00
8.398439e+01	2.195301e+00
8.203126e+01	2.200831e+00
8.007814e+01	2.200831e+00
7.812501e+01	2.198066e+00
7.617189e+01	2.200831e+00
7.421876e+01	2.198066e+00
7.226564e+01	2.200831e+00
7.031251e+01	2.200831e+00
6.835938e+01	2.200831e+00
6.640626e+01	2.203596e+00
6.445313e+01	2.203596e+00
6.250001e+01	2.198066e+00
6.054688e+01	2.200831e+00
5.859376e+01	2.198066e+00
5.664063e+01	2.198066e+00
5.468750e+01	2.195301e+00
5.273438e+01	2.198066e+00
5.078125e+01	2.200831e+00
4.882813e+01	2.200831e+00
4.687500e+01	2.200831e+00
4.492188e+01	2.200831e+00
4.296875e+01	2.200831e+00
4.101562e+01	2.198066e+00
3.906250e+01	2.198066e+00
3.710937e+01	2.200831e+00
3.515625e+01	2.200831e+00
3.320312e+01	2.200831e+00
3.125000e+01	2.200831e+00
2.929687e+01	2.203596e+00
2.734375e+01	2.200831e+00
2.539062e+01	2.200831e+00
2.343749e+01	2.203596e+00
2.148437e+01	2.203596e+00
1.953124e+01	2.200831e+00
1.757812e+01	2.203596e+00
1.562499e+01	2.203596e+00
1.367187e+01	2.203596e+00
1.171874e+01	2.206361e+00
9.765617e+00	2.203596e+00
7.812492e+00	2.206361e+00
5.859367e+00	2.209126e+00
3.906242e+00	2.206361e+00
1.953117e+00	2.206361e+00
-7.549517e-06	2.206361e+00
